word	freq	syllables	flags	bucket	context
กษัตริย์	788	กะ-สัด	sound mismatch @1 (กษัต vs กะ)	REVIEW	วงศ์พงศ์กษัตริย์โองการตรัส
อนงค์	113	อะ-นง	syllable count differs (ssg 1 vs w2p 2)	REVIEW	ทรงเหล่าอนงค์สาวใช้ขึ้น
พฤฒา	107	พรึด-ทา	sound mismatch @1 (พฤ vs พรึด)	REVIEW	พวกเสวกาพฤฒามาตย์ไปบอก
พลขันธ์	107	พล-ละ-ขัน	syllable count differs (ssg 2 vs w2p 3)	REVIEW	มสั่งพหลพลขันธ์ให้ปลูกเป็
ว	105	ว		AUTO	บาทหลวงงกตกประหม
ตลบ	103	ตะ-หลบ	syllable count differs (ssg 1 vs w2p 2)	REVIEW	ื้นคลื่นตลบกระทบด้งกำ
เสาวคนธ์	94	เสา-วะ-คน	syllable count differs (ssg 2 vs w2p 3)	REVIEW	่หัวเจ้าเสาวคนธ์บ้างก็ไปคำ
ชนนี	77	ชน-นะ-นี	syllable count differs (ssg 2 vs w2p 3)	REVIEW	ล้วลานางชนนีจะไคลคลา¦เ
สกล	73	สะ-กล	syllable count differs (ssg 1 vs w2p 2)	REVIEW	ั่งพวกพลสกลไกรให้รีบไ
บทจร	69	บท-ทะ-จร	syllable count differs (ssg 2 vs w2p 3)	REVIEW	ั้งสามรถบทจรโดยวิถีพวก
ณรงค์	62	นะ-รง	syllable count differs (ssg 1 vs w2p 2)	REVIEW	อกประจญรณรงค์ให้งวยงงเม
พลากร	62	พะ-ลา-กร	syllable count differs (ssg 2 vs w2p 3)	REVIEW	ายจะขยายพลากรกลับเข้านอ
ร	61	ร		AUTO	ลวงงกตกประหม่าให้ล่
จัตุรงค์	58	จะ-ตุ-รง	syllable count differs (ssg 2 vs w2p 3)	REVIEW	พลขับพหลจัตุรงค์ทรงอาชา¦บา
ถนน	55	ถะ-หนน	syllable count differs (ssg 1 vs w2p 2)	REVIEW	่ห้อมตามถนนดูล้นเหลือ
สลบ	54	สะ-หลบ	syllable count differs (ssg 1 vs w2p 2)	REVIEW	หัวออกรบสลบนิ่งเหมือน
พลทหาร	52	พล-ทะ-หาน	syllable count differs (ssg 2 vs w2p 3)	REVIEW	ัดพวกพหลพลทหารไปต่อต้านด
สามกษัตริย์	47	สาม-กะ-สัด	sound mismatch @2 (กษัต vs กะ)	REVIEW	าตั้งที่สามกษัตริย์จัดประจงทั
บุษบง	46	บุด-สะ-บง	syllable count differs (ssg 2 vs w2p 3)	REVIEW	ะจากห้องบุษบงอย่าสงสัยพ
ศีรษะ	46	สี-สะ	sound mismatch @1 (ศีร vs สี)	REVIEW	พัฒน์ตัดศีรษะให้สมกะแค้
สนม	44	สะ-หนม	syllable count differs (ssg 1 vs w2p 2)	REVIEW	ทร์เกณฑ์สนมพอแสงทองส่
พระฤๅษี	42	พระ-รือ-สี		COMPOSED	านของตน¦พระฤๅษีชักเหตุเทศ
ธำมรงค์	42	ทำ-มะ-รง	syllable count differs (ssg 2 vs w2p 3)	REVIEW	ววาวเวหาธำมรงค์เรือนมณีศร
มร	41	มร		AUTO	ยระวังตามระบอบเร่งสอ
เก็จ	41	เก็จ		AUTO	งเขาแก้วเก็จเพชรน้ำค้า
นค	41	นะ-คะ		COMPOSED	งเสียงปืนครื้นเครงวั
ชลนา	41	ชน-ละ-นา	syllable count differs (ssg 2 vs w2p 3)	REVIEW	แกฟูมฟายชลนาให้อาวรณ์¦
จวนจะ	40	จวน-จะ	ssg splits more than override (3 vs 2)	REVIEW	พอสุริยาจวนจะลบภพไกรก็น
แล้	39	แล้		AUTO	ากนักหนาแล้วสุมให้เป็
บาทบงสุ์	39	บาด-บง	ssg splits more than override (3 vs 2)	REVIEW	ขอจงทราบบาทบงสุ์พระทรงชัยต
ไห	38	ไห		AUTO	งให้หวาดไหวไปทั้งตัว
บ่าย	38	บ่าย		AUTO	องตำราจนบ่ายแสงทินกรอา
ย่ำ	38	ย่ำ		AUTO	าตกพรำจนย่ำเย็น¦จนบ่า
ฝืน	38	ฝืน		AUTO	นแสงพลางฝืนองค์ทรงกำล
เยี่ยม	38	เยี่ยม		AUTO	อยากจะไปเยี่ยมเยือนเพื่อ
ทาน	38	ทาน		AUTO	ย่นไม่ทนทานพากันแตกกล
ซา	38	ซา		AUTO	ลุกขึ้นเซายังเมามัวก
ทา	38	ทา		AUTO	ให้คนตัดทางแยกห่างไป
ดื้อ	38	ดื้อ		AUTO	ซื่ออย่าดื้อดึงกูกับมึ
สรรพ์	38	สับ		AUTO	งทุกสิ่งสรรพ์กูสอนสั่งค
แขวง	38	แขวง		AUTO	งเกตแก่งแขวงมุ่งเอากรุ
นัค	38	นัค		AUTO	ไปรมจักรนัคเรศนางเทวษ
