wak,syllables,flag,guess,a,b,c
จะกล่าวในเมืองลังกามหาสถาน,10,10 syllables — likely shatter/miscount,จะกล่าวในเมืองลังกามหาสถาน,,,
แล้วทูลความพระนักสิทธ์ดั่งจิตถวิล,10,10 syllables — likely shatter/miscount,แล้วทูลความพระนักสิทธ์ดั่งจิตถวิล,,,
ขอถวายบังคมลาไปธานินทร์,9,4-syllable word not at วรรค edge,ขอถวายบังคมลาไปธานินทร์,,,
จงวัฒนาเรืองฤทธิ์ดั่งพิษศร,9,word straddles a beat boundary,จงวัฒนา | เรืองฤทธิ์ | ดั่งพิษศร,,,
ช่วยชุบเลี้ยงสององค์เหมือนวงศ์วาน,9,word straddles a beat boundary,ช่วยชุบเลี้ยง | สององค์เหมือน | วงศ์วาน,,,
ไว้ถิ่นฐานรมจักรนัครา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ไว้ถิ่นฐาน | รมจักร | นัครา,,,
กับสองนาฏอัครเรศของเชษฐา,10,10 syllables — likely shatter/miscount,กับสองนาฏอัครเรศของเชษฐา,,,
จะตามไปกลัวจะขายฝ่าธุลี,10,10 syllables — likely shatter/miscount,จะตามไปกลัวจะขายฝ่าธุลี,,,
แต่นึกกลัวไปข้างหน้าสารพัน,10,10 syllables — likely shatter/miscount,แต่นึกกลัวไปข้างหน้าสารพัน,,,
พลางกุมกรขึ้นบนที่ศรีไสยา,10,10 syllables — likely shatter/miscount,พลางกุมกรขึ้นบนที่ศรีไสยา,,,
ทะเลลมยมนาในสาชล,10,10 syllables — likely shatter/miscount,ทะเลลมยมนาในสาชล,,,
เสด็จออกอาสน์แต่งองค์สรงกระสินธุ์,10,10 syllables — likely shatter/miscount,เสด็จออกอาสน์แต่งองค์สรงกระสินธุ์,,,
พร้อมทั้งนิลกัณฐีตรีพลำ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พร้อมทั้งนิล | กัณฐี | ตรีพลำ,,,
มาข้างหลังจอมกษัตริย์ทรงรัถา,8,word straddles a beat boundary,มาข้างหลัง | จอมกษัตริย์ | ทรงรัถ,,,
เป็นเพื่อนม้วยกว่าชีวังจะสังขาร์,10,10 syllables — likely shatter/miscount,เป็นเพื่อนม้วยกว่าชีวังจะสังขาร์,,,
ฝูงช้างน้ำก่งหางเหมือนช้างชน,9,word straddles a beat boundary,ฝูงช้างน้ำ | ก่งหางเหมือน | ช้างชน,,,
อุดลุตแซ่เซ็งเร่งพหล,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อุดลุตแซ่ | เซ็งเร่ง | พหล,,,
ดึกสงัดแหกเข้าได้ดั่งใจถวิล,10,10 syllables — likely shatter/miscount,ดึกสงัดแหกเข้าได้ดั่งใจถวิล,,,
โจรก็ถอยลงมาค่ายชายวาริน,10,10 syllables — likely shatter/miscount,โจรก็ถอยลงมาค่ายชายวาริน,,,
เห็นจะไม่สมหวังเหมือนดั่งใจ,9,word straddles a beat boundary,เห็นจะไม่ | สมหวังเหมือน | ดั่งใจ,,,
จำจะกลับไปทูลมูลคดี,10,10 syllables — likely shatter/miscount,จำจะกลับไปทูลมูลคดี,,,
รีบขึ้นไปทูลคดีขมีขมัน,10,10 syllables — likely shatter/miscount,รีบขึ้นไปทูลคดีขมีขมัน,,,
มันบอกว่าธานินทร์บุรินทร์นี้,9,word straddles a beat boundary,มันบอกว่า | ธานินทร์ | บุรินทร์นี้,,,
ป่างพระองค์ผู้ดำรงรมจักร,8,word straddles a beat boundary,ป่างพระองค์ | ผู้ดำรง | รมจักร,,,
ให้เร่งกลับมาเรือศึกเหลือหลาม,9,word straddles a beat boundary,ให้เร่งกลับ | มาเรือ | ศึกเหลือหลาม,,,
แล้วแต่งตัวนาดกรายเหมือนชายชาญ,9,word straddles a beat boundary,แล้วแต่งตัว | นาดกรายเหมือน | ชายชาญ,,,
คิดใบเพลาเสากลางสว่างพราย,9,word straddles a beat boundary,คิดใบเพลา | เสากลาง | สว่างพราย,,,
พระกฤษณาตั้งรับอยู่ทัพหลวง,9,word straddles a beat boundary,พระกฤษณา | ตั้งรับ | อยู่ทัพหลวง,,,
ไฟก็วับดับทั่วกลับมัวมน,9,word straddles a beat boundary,ไฟก็วับ | ดับทั่วกลับ | มัวมน,,,
บ้างก็นั่งกอดเพื่อนเหมือนอย่างลิง,9,word straddles a beat boundary,บ้างก็นั่ง | กอดเพื่อนเหมือน | อย่างลิง,,,
ดูเหมือนที่เมืองผลึกรบศึกเหมือน,10,10 syllables — likely shatter/miscount,ดูเหมือนที่เมืองผลึกรบศึกเหมือน,,,
ฝนนี้เหมือนคราวนั้นเห็นมั่นคง,9,word straddles a beat boundary,ฝนนี้เหมือน | คราวนั้น | เห็นมั่นคง,,,
คงจะลงมาอยู่ท่าริมสาชล,10,10 syllables — likely shatter/miscount,คงจะลงมาอยู่ท่าริมสาชล,,,
จะติดกับกลับไม่พ้นต้องทนกรรม,10,10 syllables — likely shatter/miscount,จะติดกับกลับไม่พ้นต้องทนกรรม,,,
นายโจรใจทมิฬหินชาติ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นายโจรใจ | ทมิฬ | หินชาติ,,,
จะกล่าวฝ่ายเภตรารำภาสะหรี,10,10 syllables — likely shatter/miscount,จะกล่าวฝ่ายเภตรารำภาสะหรี,,,
ออกแท่นรัตน์ท้ายบาหลีกับศรีสมร,10,10 syllables — likely shatter/miscount,ออกแท่นรัตน์ท้ายบาหลีกับศรีสมร,,,
ขออ่อนน้อมยอมตัวกลัวพระเดช,9,word straddles a beat boundary,ขออ่อนน้อม | ยอมตัวกลัว | พระเดช,,,
ขุนเสนากราบทูลมูลความ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ขุนเสนา | กราบทูล | มูลความ,,,
ของเบ็ดเตล็ดเครื่องอานสังวาลเฉวียง,10,10 syllables — likely shatter/miscount,ของเบ็ดเตล็ดเครื่องอานสังวาลเฉวียง,,,
เอาจัดเรียงรีบมาบรรณาการ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เอาจัดเรียง | รีบมา | บรรณาการ,,,
ฝ่ายมะหุดวุฒิไกรผู้นายใหญ่,10,10 syllables — likely shatter/miscount,ฝ่ายมะหุดวุฒิไกรผู้นายใหญ่,,,
พึ่งพระเดชจอมกษัตริย์เหมือนฉัตรชัย,10,10 syllables — likely shatter/miscount,พึ่งพระเดชจอมกษัตริย์เหมือนฉัตรชัย,,,
แล้วเข้าไปกราบทูลมูลความ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แล้วเข้าไป | กราบทูล | มูลความ,,,
ป่างพระศรีสุวรณวงศ์พงศ์กษัตริย์,10,10 syllables — likely shatter/miscount,ป่างพระศรีสุวรณวงศ์พงศ์กษัตริย์,,,
จะพูดจาดีชั่วกลัวจะเหลิง,9,word straddles a beat boundary,จะพูดจา | ดีชั่วกลัว | จะเหลิง,,,
แล้วว่าข้าขอชีวิตเพราะคิดกลัว,10,10 syllables — likely shatter/miscount,แล้วว่าข้าขอชีวิตเพราะคิดกลัว,,,
จะฝากตัวกว่าชีวันจะบรรลัย,10,10 syllables — likely shatter/miscount,จะฝากตัวกว่าชีวันจะบรรลัย,,,
โทษก็ผิดสารพัดถึงตัดษัย,10,10 syllables — likely shatter/miscount,โทษก็ผิดสารพัดถึงตัดษัย,,,
วิสัยพวกโจรขาดญาติวงศ์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",วิสัยพวก | โจรขาด | ญาติวงศ์,,,
เป็นไมตรีโดยประสงค์เหมือนวงศ์วาน,10,10 syllables — likely shatter/miscount,เป็นไมตรีโดยประสงค์เหมือนวงศ์วาน,,,
แล้วว่าขานแก่ปลัดหัสเกน,8,word straddles a beat boundary,แล้วว่าขาน | แก่ปลัด | หัสเกน,,,
เข้ามาติดราคาเหมือนตาเถร,9,word straddles a beat boundary,เข้ามาติด | ราคาเหมือน | ตาเถร,,,
เอาปืนใหญ่พระพิรุณกระสุนแตก,10,10 syllables — likely shatter/miscount,เอาปืนใหญ่พระพิรุณกระสุนแตก,,,
กลับมาหมดทั้งพระมิ่งมเหสี,10,10 syllables — likely shatter/miscount,กลับมาหมดทั้งพระมิ่งมเหสี,,,
ฝ่ายสามพราหมณ์ทราบความเสด็จกลับ,9,word straddles a beat boundary,ฝ่ายสามพราหมณ์ | ทราบความเสด็จ | กลับ,,,
เสด็จด้วยกันกับบพิตรบิตุรงค์,10,10 syllables — likely shatter/miscount,เสด็จด้วยกันกับบพิตรบิตุรงค์,,,
ขึ้นรถาฝากระจกกระหนกกระหนาบ,12,12 syllables — likely shatter/miscount,ขึ้นรถาฝากระจกกระหนกกระหนาบ,,,
พระกฤษณานำระเบียบให้เรียบเรียง,10,10 syllables — likely shatter/miscount,พระกฤษณานำระเบียบให้เรียบเรียง,,,
จัดคู่เคียงพระที่นั่งระวังระไว,10,10 syllables — likely shatter/miscount,จัดคู่เคียงพระที่นั่งระวังระไว,,,
ขึ้นพลับพลาหน้าประตูข้างบูรพทิศ,12,12 syllables — likely shatter/miscount,ขึ้นพลับพลาหน้าประตูข้างบูรพทิศ,,,
เสด็จสถิตราชัยไอศวรรย์,9,word straddles a beat boundary,เสด็จสถิต | ราชัย | ไอศวรรย์,,,
ปอกไปสิ้นย่อยยับอัปรา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ปอกไปสิ้น | ย่อยยับ | อัปรา,,,
แล้วทรงศักดิ์ตรัสว่ารำภาสะหรี,10,10 syllables — likely shatter/miscount,แล้วทรงศักดิ์ตรัสว่ารำภาสะหรี,,,
ขึ้นบรรจถรณ์ที่ประทับบนพลับพลา,10,10 syllables — likely shatter/miscount,ขึ้นบรรจถรณ์ที่ประทับบนพลับพลา,,,
ขึ้นพลับพลาเฝ้าองค์พระทรงธรรม์,10,10 syllables — likely shatter/miscount,ขึ้นพลับพลาเฝ้าองค์พระทรงธรรม์,,,
แม้นซื่อสัตย์สุจริตไม่คิดแคลง,9,4-syllable word not at วรรค edge,แม้นซื่อสัตย์สุจริตไม่คิดแคลง,,,
โจรก็กลับไปเขตประเทศถิ่น,9,word straddles a beat boundary,โจรก็กลับ | ไปเขต | ประเทศถิ่น,,,
ได้ทราษข่าวปรีดิ์เปรมเกษมสันต์,10,10 syllables — likely shatter/miscount,ได้ทราษข่าวปรีดิ์เปรมเกษมสันต์,,,
จึ่งจัดพวกสาวสุรางค์นางกำนัล,10,10 syllables — likely shatter/miscount,จึ่งจัดพวกสาวสุรางค์นางกำนัล,,,
กับนางนาฏเมืองลังการำภาสะหรี,11,11 syllables — likely shatter/miscount,กับนางนาฏเมืองลังการำภาสะหรี,,,
ได้เป็นที่ชื่นชิดสนิทสนอง,9,word straddles a beat boundary,ได้เป็นที่ | ชื่นชิดสนิท | สนอง,,,
ช่วยกันเฝ้าปรนนิบัติพระภัสดา,10,10 syllables — likely shatter/miscount,ช่วยกันเฝ้าปรนนิบัติพระภัสดา,,,
พระศรีสุวรรณจอมพิภพสบสถาน,10,10 syllables — likely shatter/miscount,พระศรีสุวรรณจอมพิภพสบสถาน,,,
เจ้าพราหมณ์รับกลับไปเขตประเทศสถาน,11,11 syllables — likely shatter/miscount,เจ้าพราหมณ์รับกลับไปเขตประเทศสถาน,,,
ฝ่ายทหารพลเรือนเหมือนเหมือนกัน,10,10 syllables — likely shatter/miscount,ฝ่ายทหารพลเรือนเหมือนเหมือนกัน,,,
ปีมะเส็งวันพฤหัสสวัสดี,10,10 syllables — likely shatter/miscount,ปีมะเส็งวันพฤหัสสวัสดี,,,
ต้องโฉลกคืนวันชันษา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ต้องโฉลก | คืนวัน | ชันษา,,,
โหรคำนับภูวไนยเจ้าไอศวรรย์,11,11 syllables — likely shatter/miscount,โหรคำนับภูวไนยเจ้าไอศวรรย์,,,
เป็นคู่ครองสองสมัครด้วยรักสนิท,10,10 syllables — likely shatter/miscount,เป็นคู่ครองสองสมัครด้วยรักสนิท,,,
สะท้านสะทึกธรณินแผ่นดินไหว,10,10 syllables — likely shatter/miscount,สะท้านสะทึกธรณินแผ่นดินไหว,,,
