wak,syllables,flag,a,b,c
บรรณาการพานทองล้วนของดี,7,"7 syllables — ambiguous, [3,2,2] is only a guess",บรรณาการพาน,ทองล้วน,ของดี
ทั้งเพชรนิลจินดาบรรณาการ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ทั้งเพชรนิล,จินดา,บรรณาการ
แสนเสนาข้าบาทพระญาติวงศ์,9,word straddles a beat boundary,แสนเสนา,ข้าบาทพระญาติ,วงศ์
ทูลเบิกราชทูตประเทศพระเชษฐา,10,10 syllables — likely shatter/miscount,ทูลเบิกราชทูตประเทศพระเชษฐา,,
กับสินสมุทรสมอำนาจวาสนา,10,10 syllables — likely shatter/miscount,กับสินสมุทรสมอำนาจวาสนา,,
ตามโบราณรัตนามหาสวรรย์,10,10 syllables — likely shatter/miscount,ตามโบราณรัตนามหาสวรรย์,,
แล้วเชิญเครื่องบรรณาการกับสารตรา,8,word straddles a beat boundary,แล้วเชิญเครื่องบรรณาการ,กับ,สารตรา
สาวสุรางค์นางบำเรอเสนอบาท,10,10 syllables — likely shatter/miscount,สาวสุรางค์นางบำเรอเสนอบาท,,
กระหวัดองค์ทรงสังวาลผูกบานพับ,10,10 syllables — likely shatter/miscount,กระหวัดองค์ทรงสังวาลผูกบานพับ,,
แล้วสวมทรงมงกุฎบุษยรัตน์,9,word straddles a beat boundary,แล้วสวมทรง,มงกุฎบุษย,รัตน์
ดูเตร็จตรัจเรียงซ้อนสลอนแหลม,9,word straddles a beat boundary,ดูเตร็จตรัจ,เรียงซ้อน,สลอนแหลม
ท้าคู่กลองแขกเสนาะเพราะสำเนียง,10,10 syllables — likely shatter/miscount,ท้าคู่กลองแขกเสนาะเพราะสำเนียง,,
ทูลเบิกราชทูตถือหนังสือสาร,9,word straddles a beat boundary,ทูลเบิกราชทูต,ถือ,หนังสือสาร
อย่าให้สาบสูญเชื้อเหมือนเนื้อไข,9,word straddles a beat boundary,อย่าให้สาบ,สูญเชื้อเหมือน,เนื้อไข
ประการหนึ่งซึ่งกษัตริย์หัสไชย,8,word straddles a beat boundary,ประการหนึ่ง,ซึ่งกษัตริย์,หัสไชย
ร่วมพระญาติประยูรวงศ์เผ่าพงศา,10,10 syllables — likely shatter/miscount,ร่วมพระญาติประยูรวงศ์เผ่าพงศา,,
อันนงเยาว์เสาวคนธ์วิมลสมร,10,10 syllables — likely shatter/miscount,อันนงเยาว์เสาวคนธ์วิมลสมร,,
ในเดือนสี่นี้จะพร้อมพระญาติวงศ์,10,10 syllables — likely shatter/miscount,ในเดือนสี่นี้จะพร้อมพระญาติวงศ์,,
พอจบสารกรานกราบพระทราบสิ้น,9,word straddles a beat boundary,พอจบสาร,กรานกราบพระ,ทราบสิ้น
ตรัสบอกให้อัคเรศแจ้งเหตุการณ์,10,10 syllables — likely shatter/miscount,ตรัสบอกให้อัคเรศแจ้งเหตุการณ์,,
ฝ่ายโฉมจันทวดีชลีสนอง,10,10 syllables — likely shatter/miscount,ฝ่ายโฉมจันทวดีชลีสนอง,,
ดูทำนองนั้นเห็นรักสมัครสมาน,10,10 syllables — likely shatter/miscount,ดูทำนองนั้นเห็นรักสมัครสมาน,,
ไม่แคลงเลยแล้วจะคงเป็นวงศ์วาน,10,10 syllables — likely shatter/miscount,ไม่แคลงเลยแล้วจะคงเป็นวงศ์วาน,,
พูนสวัสดิ์สืบวงศ์ดำรงสนอง,9,word straddles a beat boundary,พูนสวัสดิ์,สืบวงศ์ดำรง,สนอง
แล้วรับสารสองฉบับรีบกลับไป,10,10 syllables — likely shatter/miscount,แล้วรับสารสองฉบับรีบกลับไป,,
พระบิตุราชมาตุรงค์พงศ์กษัตริย์,10,10 syllables — likely shatter/miscount,พระบิตุราชมาตุรงค์พงศ์กษัตริย์,,
ชันษาคราวทัดกับหัสไชย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ชันษาคราว,ทัดกับ,หัสไชย
ถนอมสนิทเหมือนหนึ่งเนื้อในเชื้อไข,11,11 syllables — likely shatter/miscount,ถนอมสนิทเหมือนหนึ่งเนื้อในเชื้อไข,,
โหมดตาดแพรกำมะหยี่ต่างสีสัน,10,10 syllables — likely shatter/miscount,โหมดตาดแพรกำมะหยี่ต่างสีสัน,,
บ้างหัดซ้อมพากย์เจรจาจะว่าขาน,10,10 syllables — likely shatter/miscount,บ้างหัดซ้อมพากย์เจรจาจะว่าขาน,,
บ้างปลี่ยนสับยืมเขาพวกชาววัง,10,10 syllables — likely shatter/miscount,บ้างปลี่ยนสับยืมเขาพวกชาววัง,,
ชวนลูกรักอัคเรศโอรสา,10,10 syllables — likely shatter/miscount,ชวนลูกรักอัคเรศโอรสา,,
ลงเภตราพร้อมสนมกรมใน,8,word straddles a beat boundary,ลงเภตรา,พร้อมสนม,กรมใน
พลไพร่พร้อมโห่โล้สำเภา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลไพร่พร้อม,โห่โล้,สำเภา
พัดเพลาเพลาพอได้ใช้ใบสบาย,11,11 syllables — likely shatter/miscount,พัดเพลาเพลาพอได้ใช้ใบสบาย,,
