๏ ขุนทองรับอัพภิวันท์รำพันพลอด	ลูกจะสอดสืบความตามประสงค์
ลูกอาสากว่าจะได้ดังใจจง	คุณพ่อคงได้ชมสมคะเน
จะพูดพลอดสอดคล้องให้ต้องจิต	ดูจริตนางในให้หลายเล่ห์
ปะเลาะเลียบเลียมชวนให้รวนเร	สมคะเนแล้วจะทูลประโลมนาง ฯ
๏ พระกอดจูบลูบสาลิกาแก้ว	ดีจริงแล้วคิดเหมือนใจไม่ขัดขวาง
ระงับภัยที่จะไปในกลางทาง	อย่านอนค้างกลางดงจงกลับมา
นกขุนทองป้องปีกเคารพรับ	ยืนขยับโผผันด้วยหรรษา
ขึ้นลอยลมไปในหว่างกลางนภา	เข้าพาราร่อนลงตรงวังใน
โสตสดับตรับเหตุสังเกตจิต	ว่ามิ่งมิตรอยู่ปรางค์มุขอันสุกใส
มีต้นกร่างข้างแกลปราสาทไชย	สำราญใจลงจับขยับมอง
นัยน์ตาสอดลอดแลเห็นแกลแย้ม	ไอกระแอมส่งเสียงสำเนียงก้อง
หัวเราะร่าอยู่หน้าพระแกลทอง	นัยน์ตามองโฉมเฉลาดูเยาวมาลย์ ฯ
๏ โฉมอำพันมาลาไสยาหลับ	ให้วาบวับแว่วเสียงสำเนียงหวาน
นางลงจากแท่นรัตน์ชัชวาล	แล้วเผยบานพระแกลเหลียวแลมา
พอเสียงอาดนกฉลาดเข้าแอบลับ	นัยน์ตาจับเพ่งพิศขนิษฐา
สะอาดเอี่ยมเทียมเทพธิดา	สาลิกาพิศวงด้วยองค์นาง
ทำเลียบเมินเดินมาตรงหน้ามุข	ยืนหัวซุกไซ้ขนบนกิ่งกร่าง
นางเนื้อเย็นเห็นสาลิกาพลาง	งามสำอางเลิศล้ำสกุณี
ปากเหลืองดังทองคำธรรมชาติ	ขนสะอาดผาดขำดูดำสี
คะนึงในน้ำพระทัยนางเทวี	เมื่อตะกี้ชะรอยเสียงสาลิกา
ดำริพลางนางเรียกขุนทองเอ๋ย	เป็นไรเลยเสียไม่พูดเล่าปักษา
หัวเราะหยอกหลอกแม่ให้แลมา	แล้วเมินหน้าเสียไม่พูดให้แม่ฟัง ฯ
๏ นกขุนทองหัวร่อแล้วขอโทษ	อย่าถือโกรธลูกไม่มีนัยน์ตาหลัง
เมื่อแรกมาเห็นหน้าพระแกลบัง	แต่พูดพลั้งออกไปนิดยังคิดกลัว
มิชอบใจจะว่าใครมาพูดแจ้ว	ถ้ากริ้วแล้วว่าขุนทองนี้ชาติชั่ว
จะให้สาวชาววังมาจับตัว	ลูกก็กลัวที่จะไปไม่ใคร่ทัน ฯ
๏ ฟังเสนาะเพราะเสียงสำเนียงนก	นางลูบอกแล้วก็ทรงพระสรวลสันต์
แม่เจ้าเอ๋ยรู้จริงทุกสิ่งอัน	แล้วรับขวัญเรียกสาลิกาทอง
มานี่เถิดเจ้าสาลิกาเอ๋ย	ให้แม่เชยแต่พอชื่นอารมณ์หมอง
ข้าวกับไข่แม่จะใส่จานทองรอง	เจ้าขุนทองเข้ามาชิมให้อิ่มใจ ฯ
๏ สกุณีตีปีกหัวร่อร่า	เจ้าแม่จ๋ามาลวงให้หลงใหล
ครั้นเข้าชิดแล้วจะปิดพระแกลไว้	แม่คงจับลูกได้ไว้ใส่กรง ฯ
๏ อนิจจาว่าเปล่าดอกเจ้าเอ๋ย	แม่ไม่เคยลวงใครให้ใหลหลง
จะจับเจ้าไว้ทำไมที่ในกรง	แม่ชมเชยแล้วจะส่งไปรวงรัง
จริงกระนั้นหรือฉันจะไปหา	สาลิกาทำขยับแล้วกลับหลัง
หัวเราะร่าว่าเจ้าแม่กรุณัง	ลูกฝรั่งหรืออะไรจะให้ทาน
จะให้จริงทิ้งมาเถิดเจ้าแม่	แต่พอแก้แสบท้องเป็นของหวาน
พอค่ำไปเช้ากลับมารับประทาน	อ้างพยานกิ่งกร่างกับปรางค์ทอง
ดูดู๋เจ้าใจแข็งเสียแรงปลอบ	คิดเห็นชอบหรือไฉนให้ทิ้งของ
บุญแม่น้อยมิได้อุ้มเจ้าขุนทอง	นุชน้องเจ้างับพระแกลบัง
นกขุนทองป้องปีกเคารพรับ	น้อมคำนับขยับบินแล้วผินหลัง
อนิจจาผิดล้นพ้นกำลัง	นี่หรือยังจะรักไปให้ยืดยาว
ก็สาสมที่อารมณ์เราทำชั่ว	ท่านรักตัวแล้วยังดื้อทำอื้อฉาว
โอ้เคราะห์ร้ายเรื้อรังมาทั้งคราว	ฉันลาเจ้าแม่แล้วอย่าโกรธเลย
ทำยกปีกเหมือนจะถาไปอากาศ	สุดสวาทผลักบานบัญชรเผย
มาเถิดมาสาลิกาอย่าโกรธเลย	แม่เจ้าเอ๋ยใจน้อยนี่สุดใจ
นกขุนทองว่าฉันลองใจเจ้าแม่	คิดอยู่แต่จะไม่เผยบัญชรให้
คอยรับลูกเถิดจะโผนโจนลงไป	ลูกอ่อนใจแสบท้องมาสองวัน
แล้วย่างเหยียบเลียบโจนจากกิ่งกร่าง	พอถึงนางเหมือนจะตกทำหกหัน
นางผวาคว้ารับขุนทองพลัน	แล้วรับขวัญจูบกอดเจ้าสาลิกา
เอาจานทองมารองข้าวกับไข่คลุก	กล้วยน้ำสุกปอกส่งให้ปักษา
ลูกฝรั่งมังคุดอันโอชา	สาลิกากินพลอดเฉาะฉอดไป
เจ้าแม่จ๋าถ้าลูกกินอิ่มแล้ว	จะปล่อยแก้วสาลิกาหรือหาไม่
นางยิ้มหลอกหยอกนกให้ตกใจ	ถึงมือแล้วจะไปจากเห็นยากครัน
เออนี่แน่แม่จะถามเนื้อความหน่อย	เขาเลี้ยงปล่อยหรืออยู่ป่าพนาสัณฑ์
มาท่องเที่ยวอดอยากลำบากครัน	อยู่ด้วยกันเถิดเป็นไรอย่าไปเลย
สาลิกาแสนกลเห็นคนว่าง	ได้ท่าทางก็ตอบสารเฉลย
ไม่ทุกข์ร้อนก็จะนอนให้แม่เชย	นี่ใครเลยจะแจ้งที่ใจจง
แม้นแม่รู้ความหลังจะสังเวช	ซึ่งทุเรศมรรคาในป่าระหง
ด้วยเจ้าพ่อพี่น้องทั้งสององค์	เป็นเชื้อวงศ์จักรพรรดิสวัสดี
พึ่งแรกรุ่นรูปราวกับเจ้าแม่	เขาลือแซ่เฟื่องฟุ้งทั้งกรุงศรี
ว่าโฉมยงองค์หนึ่งในธรณี	เป็นบุตรีจักรพรรดิกระษัตรา
ว่าทรงโฉมงามประโลมวิไลโลก	เธอแสนโศกมาเสาะแสวงหา
แต่พี่น้องสององค์กับสาลิกา	ถึงพาราเจ้าแม่ได้สามวัน
มาพบเหยี่ยวเฉี่ยวโฉบลูกบินหนี	มันตามตีสาลิกาแทบอาสัญ
ครั้นพ้นเหยี่ยวเที่ยวหาไม่พบกัน	จึงโศกศัลย์ตกยากลำบากมา
ได้กินข้าวคลุกไข่ของเจ้าแม่	สงสารแต่เจ้าพ่อของปักษา
พระพักตร์งามยามโศกจะโรยรา	ทำมารยายืนเหงาไม่จิกกิน ฯ
๏ นางฟังคำนกสาลิกาเล่า	โอ้แม่เจ้าช่างจำได้เสร็จสิ้น
ให้ปั่นป่วนครวญคิดถึงภูมินทร์	แต่ได้ยินกล่าวโฉมให้ชื่นครัน
นางเสแสร้งแกล้งซักเจ้าปักษา	สาลิกาปดดอกกระมังนั่น
ถ้าคุณพ่อเป็นเจ้าเหมือนเล่ากัน	จะด้นดั้นหาคู่ไม่ควรเลย
จริงจริงหรือชื่อไรเล่าเจ้าพ่อ	มิรูปหล่อหรือเจ้าสาลิกาเอ๋ย
นกขุนทองต้องใจกระไรเลย	จะชมเชยชวนคบเฝ้ารบไป ฯ
๏ ตามแต่เยาะเถิดเป็นเคราะห์ของลูกร้าย	พระโฉมฉายเธอไม่มาก็ว่าได้
ถึงมิหล่อก็แต่พอประโลมใจ	บุรุษในธรณีไม่มีปาน
หญิงที่เห็นเว้นไว้แต่เจ้าแม่	จะงามแก้กันได้ไม่หักหาญ
ไม่เชื่อแล้วถึงจะเล่าไม่เข้าการ	มาอยู่นานแล้วจะลาไปหากัน ฯ
๏ นางฟังนกยกยอชะลอโฉม	ยิ่งประโลมลานจิตคิดกระสัน
ฟังปักษาว่าประหลาดพูดพาดพัน	หรือทรงธรรม์ใช้สาลิกามา
ดำริพลางนางแกล้งกระซิบสั่ง	แม้นกลับหลังพบคุณพ่อของปักษา
อย่าบอกเล่าว่าเข้ามาปรางค์ปรา	คุณพ่อเจ้าเธอจะว่าไม่เกรงใจ
เมื่อแรกคิดว่าเจ้ามาแต่ป่า	ไม่แจ้งว่าคุณพ่อเจ้ารักใคร่
ได้จับผิดนิดหน่อยก็แล้วไป	รำคาญใจเขาจะว่าดูน่าชัง ฯ
๏ นกขุนทองรู้ทำนองว่านางแกล้ง	ทำเสแสร้งตอบไปเหมือนใจหวัง
แม่ให้ทานข้าวกับไข่มิใช่ชัง	ถึงมิสั่งลูกจะบอกทำไมมี
เป็นการด่วนจวนจะจรไปหาคู่	เจ้าแม่อยู่จะมาบ้างในปรางค์ศรี
ฉันจะลาเจ้าแม่อยู่จงดี	แล้วทำทีจะบินออกนอกบัญชร ฯ
๏ นางขยับจับสาลิกากอด	ระทวยทอดฤทัยสะท้อนถอน
กลัวปักษาจะมิทูลพระภูธร	เธอจะจรไปเสียจากพารา
จะสั่งไปให้บอกก็อายจิต	แต่นึกคิดป่วนปั่นกระสันหา
เล้าโลมลูบจูบกอดสกุณา	สาลิกาเอ๋ยแม่เชยไม่สิ้นรัก
แม้นเจ้าพ่อพบสาลิกาเข้า	จะพาเจ้าจรไปจากไตรจักร
พ่อหนีมาให้แม่ชมพอสมรัก	อย่าเพ่อหักหวนไปเสียไกลตา
รำพันพลางทางหยิบสุคนธ์รื่น	อันหอมชื่นมาชโลมเจ้าปักษา
ให้รู้ถึงทรงธรรม์ด้วยปัญญา	สาลิกาแจ้งความก็ตามใจ ฯ
๏ ขุนทองเคารพจบปีกขึ้นเหนือเกล้า	จะลาเจ้าแม่แล้วอย่าโหยไห้
พอพบพ่อลูกจะมาอย่าอาลัย	สำราญใจโผผินบินทะยาน ฯ
๏ นางเยี่ยมแกลแลดูจนลับเนตร	พูนเทวษพิศวงด้วยสงสาร
ไม่เล่นด้วยสาวสนมพนักงาน	อาลัยลานถึงคุณพ่อสาลิกา ฯ
๏ ฝ่ายขุนทองบินถลามาถึงสวน	พลางสำรวลพูดจ้อคุณพ่อจ๋า
จูบขุนทองลองรสสุคนธา	สาลิกาเจ้าก็เต้นขึ้นเพลาพลัน ฯ
๏ พระโคบุตรสุดสวาทด้วยนกพลอด	พระกรกอดสาลิกาแล้วรับขวัญ
หอมระรื่นชื่นใจกระแจะจันทน์	เกษมสันต์แจ้งความว่าทรามเชย
จึงยิ้มเยื้อนเอื้อนถามไปตามเล่ห์	สมคะเนแล้วหรือเจ้าสาลิกาเอ๋ย
ใครทาแป้งแต่งตัวให้ทรามเชย	เจ้าข้าเอ๋ยหอมหวนรัญจวนใจ ฯ
๏ ขุนทองฟังเจ้าพ่อหัวร่อร่า	ลูกอาสาพระองค์ก็คงได้
แล้วเล่าเรื่องกล่าวโฉมประโลมใจ	งามวิไลล้ำนางสำอางตา
ถึงนางในไกรลาสว่างามล้ำ	ไม่งามขำเหมือนเจ้าแม่ของปักษา
จะเปรียบกรอ่อนดังงวงไอยรา	จะดูสองนัยนาดังนิลแนม
เปรียบขนงเหมือนหนึ่งวงธนูน้าว	ทั้งสองเต้าตั้งเต่งเปล่งแฉล้ม
ดังสัตตบุษย์ผุดปริ่มคงคาแวม	ทั้งสองแก้มเปรียบอย่างมะปรางทอง
เหมือนเจ้าพ่อพอสมเป็นคู่ชื่น	อันชายอื่นแล้วไม่มีเสมอสอง
ทั้งสมบัติพัสถานก็เนืองนอง	ดุจทองแกมแก้วประกอบกัน ฯ
๏ พระฟังนกยกโฉมให้ปั่นป่วน	ทรงพระสรวลสาลิกาแล้วรับขวัญ
พระฟังพลอดเพลิดเพลินเจริญครัน	ถ้าแม่นมั่นเหมือนเล่าเจ้าขุนทอง
เอานกแอบแนบชมอารมณ์ชื่น	หอมระรื่นพระยิ่งให้อาลัยหมอง
เย็นพยับอับฟ้าน้ำตานอง	พระตรึกตรองถึงแก้วตายิ่งอาวรณ์
ชวนอรุณขุนทองขึ้นแท่นรัตน์	สองกระษัตริย์บรรทมเหนือบรรจถรณ์
พระโคบุตรสุริยาพะงางอน	อนาถนอนนิ่งนึกถึงเทวี
โอ้อำพันขวัญใจวิไลลักษณ์	จะประจักษ์หรือว่าเรียมอยู่สวนศรี
นกมาเล่าเหมือนหนึ่งเจ้าจะปรานี	รุ่งพรุ่งนี้จะให้อ่านสารแสดง
ให้ขวัญเมืองรู้เรื่องว่าเรียมรัก	แจ้งประจักษ์ตื้นลึกไม่นึกแหนง
ยิ่งกลัดกลุ้มรุ่มร้อนดังเพลิงแรง	แต่พลิกแพลงปลาบปลื้มไม่ลืมคิด
จะใกล้หลับคลับคล้ายเหมือนสายสวาท	มาร่วมอาสน์อิงแอบแนบสนิท
พระหัตถ์สอดกอดน้องประคองคิด	แล้วจุมพิตเชยปรางทางสุนทร
นิจจาเจ้าเยาวลักษณ์วิไลโฉม	งามประโลมล้ำเทพอักษร[๑]
อรุณฟื้นตื่นปลุกพระภูธร	ละเมอนอนเล้าโลมประหลาดครัน
พระรู้สึกนึกเขินเมินหน้านิ่ง	ยิ่งคิดยิ่งสร้อยเศร้าถึงสาวสวรรค์
ไม่หลับใหลด้วยพระทัยนั้นผูกพัน	จนไก่ขันจวนรุ่งน้ำค้างโปรย
หอมจำปาดอกลำดวนในสวนหลวง	เรณูร่วงหอมหวนรัญจวนโหย
รื่นรื่นชื่นอารมณ์เมื่อลมโชย	พระพายโรยพัดเฉื่อยระเรื่อยมา
สุริยงทรงราชรถเร่ง	ขึ้นปลั่งเปล่งหมดเมฆในเวหา
พระตื่นขึ้นสรงพักตร์แลกายา	แล้วจารึกสาราเป็นความใน
ด้วยยอดตองรองเขียนประดิษฐ์คิด	ตามจริตแรกเริ่มจะรักใคร่
สลักหลังสั่งซ้ำประจำไป	พระมอบให้สาลิกาแล้วพาที
พระสั่งนอกบอกว่าโศกานัก	แล้วลูกรักอยู่บรรทมกับโฉมศรี
อย่าปิดแกลนิทราเมื่อราตรี	พอเขาตีฆ้องยามจะตามไป
ขุนทองกราบคาบตองจำลองสาร	บินทะยานจากสวนพฤกษาไสว
ลงจับกร่างข้างแกลปราสาทไชย	หนังสือพิงกิ่งไม้ไว้ดิบดี
แล้วขุนทองร้องเรียกคุณแม่จ๋า	เจ้าแม่มามารับเจ้าปักษี
นางฟังแจ้วแว่วเสียงสกุณี	นางเทวีวิ่งผวามาหน้าแกล
ขุนทองเห็นยกปีกเคารพรับ	ขุนทองกลับมาแล้วจ้ะพระเจ้าแม่
สาลิกาถาทะยานจับบานแกล	ไหนเจ้าแม่จะให้ข้าวกับไข่กิน
นางกอดแก้วสาลิกาแล้วกล่าวถ้อย	ให้กล้วยหน่อยข้าวกับไข่เหมือนใจถวิล
เอาใส่จานทองคลุกน้ำผึ้งริน	ขุนทองกินทางพลอดฉะฉอดไป
ลูกประสบพบสองเจ้าพ่อแล้ว	เธอจูบแก้วสาลิกาเป็นไหนไหน
ว่าหอมกลิ่นบุปผาสุมาลัย	ถามว่าใครให้แป้งมาแต่งทา
ฉันไม่บอกออกความว่าเจ้าแม่	ลูกปดแก้ว่าไปเกลือกกลีบบุปผา
ทั้งสององค์หลงเชื่อลูกเจรจา	เฝ้าจูบกอดสาลิกาไม่อิ่มใจ
ประเดี๋ยวพี่เอาไปจูบแล้วน้องจูบ	เฝ้าโลมลูบลูกรักจนเหงื่อไหล
ลูกหนีมาเสียให้สาแก่น้ำใจ	ไม่กลับไปแล้วจะอยู่เสียในวัง ฯ
๏ นางฟังเล่าเศร้าจิตคิดถวิล	กลัวภูมินทร์จะไม่แจ้งเหมือนใจหวัง
ทำแกล้งโกรธสาลิกาด้วยวาจัง	ข้าเบื่อฟังแล้วเจ้าลิ้นทะเลวน
เขาทาแป้งแต่งตัวให้หอมกรุ่น	เอาบุญคุณนั้นไปล้างเสียกลางหน
ขี้ปดพ่อว่าไปเกลือกกลีบอุบล	ราวกับคนไม่เคยพบกระแจะจันทน์
อันคุณพ่อเจ้าหรือกระสือแป้ง	ไม่เคยแต่งอยู่แต่ป่าพนาสัณฑ์
นี่หรือรูปจะมิงามอร่ามครัน	เห็นไรฟันเสียสิ้นทุกสิ่งไป ฯ
๏ นกขุนทองพูดแก้ว่าแม่สั่ง	ไปลับหลังว่าอย่าแจ้งแถลงไข
หรือเจ้าแม่อยากให้บอกจะออกไป	ลูกดีใจอยากจะอยู่ในพารา ฯ
๏ นางฟังคำทำโกรธเป็นทีหยอก	ไยมิบอกจะทำอะไรข้า
ขุนทองตอบไปให้ชอบด้วยปรีชา	พระบิดาเธอจะทำอะไรมี
ลูกคิดดูเธอยิ่งรู้ก็ยิ่งรัก	ไม่รู้จักก็ได้จูบแต่ปักษี
แล้วหัวร่อขอโทษนางเทวี	เมื่อวานนี้ลูกทูลพระบิดา
ว่าแม่เจ้าให้กินข้าวกับไข่คลุก	ทั้งส้มสูกให้ลูกรักนั้นหนักหนา
แป้งอำพันจันทน์จวงกระแจะทา	พระบิดาดีใจแล้วให้พร
ว่าแม่เจ้ามีคุณการุญด้วย	จึ่งให้กล้วยกินอิ่มสโมสร
เหมือนเจ้าแม่มีคุณกับบิดร	ไม่ม้วยมรณ์ก็ไม่ลืมปลื้มอาลัย
แต่แสนยากจากเมืองได้เคืองยิ่ง	ไม่มีสิ่งจะแทนพระคุณให้
จะมาเฝ้าเจ้าแม่ในปรางค์ไชย	ก็เกรงใจสองกระษัตริย์จะขัดเคือง ฯ
๏ ชะปดแล้วปดเล่าเฝ้าแต่ปด	ช่างเลี้ยวลดยืนยาวเป็นราวเรื่อง
ยิ่งให้หลอกแล้วก็หลอกอยู่เนืองเนือง	ราวกับเรื่องรามเกียรติ์เจียวสาลิกา
แต่แรกบอกว่าออกไปหลอกพ่อ	ประดิษฐ์ต่อข้อกลอนมาย้อนว่า
พ่อร้อยลิ้นกินหวานน้ำตาลทา	กินข้าวปลาเสียเถิดเจ้าข้าเข้าใจ
อนิจจาไม่ว่าเปล่าหนาเจ้าแม่	แม้นไม่แน่แล้วจงฟัดให้ตัดษัย
พยานลูกเอามาพิงไว้กิ่งไทร	ไม่เชื่อใจฉันจะอ้างต้นกร่างทอง
พูดพลางทางบินไปต้นไทรใหญ่	จับกิ่งไทรไพรศรีไม่มีสอง
ก็สมใจไม่วิตกนกขุนทอง	มาคาบตองไปถวายนางเทวี
เจ้างามพริ้มยิ้มหยิบใบตองอ่อน	เห็นอักษรเรื่องราชสารศรี
เป็นความขำตามคำสกุณี	พระหัตถ์คลี่นิ่งอ่านสำราญใจ ฯ
๏ ในสารว่าอิศเรศเกศมงกุฎ	พระโคบุตรเลิศล้ำในต่ำใต้
นิราศร้างแรมวังตั้งพระทัย	มาอยู่ในสวนขวัญอันบรรจง
พี่มุ่งหมายมาถวายชีวาวาตม์	พระจอมนาฏกัลยาเมืองกาหลง
ใบตองแทนแผ่นสุวรรณอันบรรจง	จิตจำนงต่างเครื่องบรรณาการ
ด้วยไกลวังครั้งนี้จนเหลือแสน	ขุนทองแทนอุปทูตที่ถือสาร
มาถึงองค์พระธิดายุพาพาล	ให้แจ้งการเรื่องรักประจักษ์ใจ
แม้นมิพบสบสมสวาทนุช	จนสิ้นสุดชนมชีพให้ตักษัย
เป็นกุศลดลจิตสาลิกาไป	เรียมจึงได้ชมกลิ่นสุคนธา
ค่ำวันนี้พี่จะมาสู่หาน้อง	ขอชมห้องพระตำหนักขนิษฐา
พอจบสารพจมานที่มีมา	พระธิดาปั่นป่วนรัญจวนครัน
แกล้งทรงฉีกยอดตองที่รองเรื่อง	ทำทีเคืองสกุณินแล้วผินผัน
เจ้าปักษีดีแล้วได้เห็นกัน	เที่ยวกล่าวขวัญให้รู้ทุกผู้คน
จะพาเจ้าขึ้นไปเฝ้าพระบิตุเรศ	ให้ทรงเดชรู้ความตามเหตุผล
ยังพวกพ้องเจ้าจะมีสักกี่คน	ทำเล่ห์กลลามเลียมไม่เจียมใจ ฯ
๏ สกุณีรู้ทีไม่ทุกข์ร้อน	พูดอ้อนวอนไปให้ชอบอัชฌาสัย
นี่ยอดตองฟ้องลูกประการใด	ไม่ถามไถ่บ้างเลยแม่ให้แน่ความ ฯ
๏ นางยิ้มพลางทางตอบเจ้าปักษิณ	พ่อร้อยลิ้นสิ้นอาลัยไถลถาม
จะยอกย้อนซ่อนเงื่อนให้เลื่อนความ	เจ้าทำงามแล้วจะเป็นอะไรมี ฯ
๏ โอ้ตายจริงแล้วเจ้าสาลิกาเอ๋ย	ไม่รู้เลยเป็นอย่างไรไฉนนี่
จะฟ้องร้องให้ลูกต้องถูกตี	มิปรานีแล้วกรรมของสาลิกา
พลางชะอ้อนวอนทูลว่าร้อยชั่ง	ขอโทษครั้งหนึ่งเถิดเจ้าแม่จ๋า
นางแกล้งเมินเดินไปที่ไสยา	สาลิกาเต้นตามนางทรามวัย
พลอดประโลมโฉมฉายให้คลายจิต	แสงอาทิตย์ล่วงดับลับไศล
โฉมอำพันปั่นป่วนรัญจวนใจ	ตั้งพระทัยคอยดูพระภูมินทร์ ฯ
