wak,syllables,flag,guess,a,b,c
ฝ่ายยุพาผการำภาสะหรี,10,10 syllables — likely shatter/miscount,ฝ่ายยุพาผการำภาสะหรี,,,
นางฟังเล่าเศร้าจิตอนิจอนาถ,9,word straddles a beat boundary,นางฟังเล่า | เศร้าจิตอนิจ | อนาถ,,,
พระสังฆราชนั้นเจ้าเห็นเป็นไฉน,10,10 syllables — likely shatter/miscount,พระสังฆราชนั้นเจ้าเห็นเป็นไฉน,,,
ไม่สรงเสวยเลยเฝ้าแต่จาบัลย์,9,word straddles a beat boundary,ไม่สรงเสวย | เลยเฝ้า | แต่จาบัลย์,,,
ลงนอนเอกเขนกอึ้งตะลึงตะไล,10,10 syllables — likely shatter/miscount,ลงนอนเอกเขนกอึ้งตะลึงตะไล,,,
พระชนนีมิใช่จะมาละไป,10,10 syllables — likely shatter/miscount,พระชนนีมิใช่จะมาละไป,,,
กระหม่อมฉานจะช่วยคิดด้วยบิตุรงค์,10,10 syllables — likely shatter/miscount,กระหม่อมฉานจะช่วยคิดด้วยบิตุรงค์,,,
สรงสุหร่ายแล้วมานั่งบรรลังก์ทอง,10,10 syllables — likely shatter/miscount,สรงสุหร่ายแล้วมานั่งบรรลังก์ทอง,,,
นางรับรสพจนารถฉลาดฉลอง,10,10 syllables — likely shatter/miscount,นางรับรสพจนารถฉลาดฉลอง,,,
อยากจะใคร่ให้พระชนนีนาถ,9,word straddles a beat boundary,อยากจะใคร่ | ให้พระชนนี | นาถ,,,
มิสมดังปรารถนาลูกอาภัพ,9,4-syllable word not at วรรค edge,มิสมดังปรารถนาลูกอาภัพ,,,
ขึ้นพลับพลาชมจันทร์เป็นหลั่นลด,10,10 syllables — likely shatter/miscount,ขึ้นพลับพลาชมจันทร์เป็นหลั่นลด,,,
ดูแจ่มแจ้งชวาลาระย้าระยับ,10,10 syllables — likely shatter/miscount,ดูแจ่มแจ้งชวาลาระย้าระยับ,,,
กระจกจับเพลิงกระจ่างสว่างไสว,10,10 syllables — likely shatter/miscount,กระจกจับเพลิงกระจ่างสว่างไสว,,,
