word	syllables	flags	context
กษัตริย์	กะ-สัด	sound mismatch @1 (กษัต vs กะ)	วงศ์พงศ์กษัตริย์โองการตรัส
ลังกา	ลัง-กา		ม้นกูได้ลังกาจะผ่าอกเอา
บาทหลวง	บาด-หลวง		บาทหลวงงกตกประหม่
กำปั่น	กำ-ปั่น		ดูคนในลำกำปั่นถูกควันง่ว
พระองค์	พระ-อง		นบุรีสามพระองค์ทรงพระยาอา
พหล	พะ-หน		บเร่งพวกพหลพลนิกายไปห
เข้าไป	เข้า-ไป		้างฝาจึงเข้าไปไต่ถามตามส
มิได้	มิ-ได้		่างกระไรมิได้คิดช่างมืด
พารา	พา-รา		พลไพร่ในพาราเที่ยวตักว
สาคร	สา-คร		่าตาลสุดสาครหัสไชยตื่น
โยธา	โย-ทา		พวกพหลพลโยธาเพราะมันมา
อาจารย์	อา-จาน		นต์กูผู้อาจารย์¦เล่นอ้ายพ
ทั้งสอง	ทั้ง-สอง		ูกไพร่พลทั้งสองฝ่ายตายเป็
กระบวน	กระ-บวน		อหาใส่ในกระบวน¦แล้วหยิบธ
บรรดา	บัน-ดา		ยไพร่แต่บรรดาพวกมาเรือแ
สงสาร	สง-สาน		กราบกรานสงสารแม่ให้ท้อแ
บุรี	บุ-รี		กด่านชานบุรี¦เชิญท่านค
อย่างไร	หร่าง-ไร		งผางเป็นอย่างไรเสียน้ำใจแ
จัดแจง	จัด-แจง		นได้ช่องจัดแจงกล้องเป่าย
ข้าศึก	ข้า-สึก		นที่ในกลข้าศึกมันตรึกตรอ
เวลา	เว-ลา		ฝ่ายหน้าเวลาจวนตั้งกระ
สำหรับ	สำ-หรับ		ไว้ชอบกลสำหรับคนล้างตัวท
สำราญ	สำ-ราน		ากุฎีที่สำราญ¦ทั้งลูกหล
สุวรรณ	สุ-วัน		ถลงไขศรีสุวรรณนิ่งอึ้งตะ
มาถึง	มา-ถึง		ีลาเสด็จมาถึงสถานชานบุร
อารมณ์	อา-รม		จเสร็จสมอารมณ์นึกแล้วตรอ
รักษา	รัก-ษา		่าอาจหาญรักษาตัวไว้ให้ม
เข้ามา	เข้า-มา		งฝาหรั่งเข้ามานั่งพร้อมห
ขุนนาง	ขุน-นาง		่หม่นมัวขุนนางรับจับจอกก
เชษฐา	เชด-ถา		าระหงว่าเชษฐาออกประจญรณ
ประเทศ	ประ-เทด		่าในเกาะประเทศเขตลังกาอย
บังคม	บัง-คม		ทรงธรรม์บังคมคัลเชิญเสด
รับสั่ง	รับ-สั่ง		๊ะจ๋าฟังรับสั่งปิ่นเกล้าพ
อาลัย	อา-ไล		อนพระทัยอาลัยหลงพ่อดับส
ที่นั่ง	ที่-นั่ง		รสาณฑ์รถที่นั่งสามพระองค์
หนักหนา	หนัก-หนา		นี้ฟังมาหนักหนาหนอเร่งบอก
กำลัง	กำ-ลัง		ขวาเหลือกำลังพวกพหลพลโย
สิงขร	สิง-ขอน		งดังฝั่งสิงขรคอยฝนหายจะ
โฉมยง	โฉม-ยง		ยพหลส่วนโฉมยงนงเยาว์เสา
กองทัพ	กอง-ทับ		าเพ่อเอากองทัพถอยกลับไปส
สงสัย	สง-ไส		ุรงค์มันสงสัยเองจงไปฟัง
สมทบ	สม-ทบ		ไปรบช่วยสมทบรบพุ่งยุ่ง
คำนับ	คำ-นับ		ก็ชวนกันคำนับรับสัพพีตา
บิดา	บิ-ดา		วารีด้วยบิดามารดรสมรม้
พี่เลี้ยง	พี่-เลี้ยง		นน้ำนวล¦พี่เลี้ยงเล่าชี้แจง
เสนี	เส-นี		งสั่งพวกเสนีมีปรีชาให้
ธานี	ทา-นี		หนีมาจากธานี¦พวกคนใช้ฝ
ธิดา	ทิ-ดา		กวันชายาธิดาด้วยพ่อจงช
ประสงค์	ประ-สง		งของต้องประสงค์แล้วให้เรี
อาวุธ	อา-วุด		อเครื่องอาวุธอย่างบังคั
พี่น้อง	พี่-น้อง		ัยถึงโรคพี่น้องเล่าก็เข้า
นิเวศน์	นิ-เวด		ยลอยไปในนิเวศน์ถิ่นประเทค
ประคอง	ประ-คอง		หลังนั่งประคอง¦เห็นหลานร
บัลลังก์	บัน-ลัง		กราดเรือบัลลังก์ที่นั่งโถง
สำเร็จ	สำ-เหร็ด		รลงครั้นสำเร็จเสร็จสมอาร
แก้ไข	แก้-ไข		นดูแลได้แก้ไขเองจะช่วยค
ขัดขวาง	ขัด-ขวาง		่นลัดยังขัดขวางจะดูเข็มเต
พูดจา	พูด-จา		งอย่าได้พูดจาภาษาไทยจงเ
ไต่ถาม	ต่าย-ถาม	sound mismatch @1 (ไต่ vs ต่าย)	ึงเข้าไปไต่ถามตามสงกาเจ้
สำเนียง	สำ-เนียง		ดกันเป็นสำเนียงเสียงชวาที
กรุงศรี	กรุง-สี		ำรุงซึ่งกรุงศรีให้ชนะศัตร
บุรินทร์	บุ-ริน		นด่านชานบุรินทร์เห็นคนสิ้น
ปรึกษา	ปรึก-ษา		็นได้การปรึกษาท้าวโกสัยเ
ทั้งหลาย	ทั้ง-หลาย		้งกำปั่นทั้งหลายพลัดกระจัด
ปราศรัย	ปรา-ไส		หน้าแล้วปราศรัยเองจงสั่งพ
มเหสี	มะ-เห-สี		องตระกูลมเหสีสี่นางสำอา
พระทัย	พระ-ไท		ึงตะไลตกพระทัยเพียงจะดิ้
ที่จะ	ที่-จะ		กับยาเมาที่จะเป่าทั่วทุ
รบพุ่ง	รบ-พุ่ง		ช่วยสมทบรบพุ่งยุ่งนักหนา
ผ่อนผัน	ผ่อน-ผัน		นร้อนคิดผ่อนผันพวกคนใช้ผู
ไพร่พล	ไพร่-พน		ทุกคนให้ไพร่พลเตรียมตัวท
พร้อมกัน	พร้อม-กัน		ากันเป่าพร้อมกันเข้าหลายคั
ออกมา	ออก-มา		บอาสารีบออกมาแต่งตัวแล้
แล้วก็	แล้ว-ก็		หลังคาสีแล้วก็ชวนกันคำนั
กระจ่าง	กระ-จ่าง		ว่าไปให้กระจ่างในทางความ¦
วิสัย	วิ-ไส		นดีเหลือวิสัยเสือไว้ลาย
ประณต	ประ-นด		ไลล่วงไปประณตบทศรีทูลแถ
สะอื้น	สะ-อื้น		ุดกลืนซบสะอื้นอาวรณ์ร้อน
ประตู	ประ-ตู		้างหว่างประตูพร้อมทุกหม
วิชา	วิ-ชา		ต์ดลคาถาวิชาขลังเป็นน้
ผู้หญิง	ผู้-หญิง		ยวเกี้ยวผู้หญิงดูหน้าตาสา
ตำรา	ตำ-รา		องจิตผิดตำราอ้ายมังคลา
ทะเล	ทะ-เล		างค์กลางทะเลกำปั่นรบเร
มิใช่	มิ-ใช่		่ได้ด้วยมิใช่ปู่เจ้าเขา
ภาษา	พา-สา		ได้พูดจาภาษาไทยจงเข้าไ
หนังสือ	หนัง-สือ		ช้ผู้ถือหนังสือพลันก็ชวนก
สิงหล	สิง-หน		นเจ้าชาวสิงหลมึงอย่าได้
ยินดี	ยิน-ดี		หลวงเห็นยินดีเป็นที่ยิ่
ด้วยกัน	ด้วย-กัน		ับกูอยู่ด้วยกัน¦จะกล่าวฝ่
ปราสาท	ปรา-สาด		ราราชจากปราสาทที่นั่งบัล
พร้อมพรั่ง	พร้อม-พรั่ง		นอำมาตย์พร้อมพรั่งทั้งพหลพอส
จังหวัด	จัง-หวัด		่นพิภพจบจังหวัดโองการตรัส
กุมาร	กุ-มาน		สงสารสอนกุมารสารพัดไม่ข
เห็นจะ	เห็น-จะ		กามหาศาลเห็นจะตั้งยืนยงค
กระไร	กระ-ไร		ก่อนช่างกระไรมิได้คิดช่
ชำนาญ	ชำ-นาน		มโหรีที่ชำนาญบรรเลงลานซ
โอรส	โอ-รด		์สามองค์โอรสากับไทท้าว
ทำนอง	ทำ-นอง		้ความตามทำนองมันตรึกตรอ
ออกจาก	ออก-จาก		ัวพองไม่ออกจากรถฝรั่งนั่
คงคา	คง-คา		งโรยลงในคงคาเจ้าแผ่นดิ
ระวัง	ระ-วัง		่ยับยั้งระวังภัยเราจะไป
นักหนา	นัก-หนา		ยหลากมากนักหนาแล้วสุมให้
เวหา	เว-หา		างค์เมฆาเวหาหนถูกทหารล
ละออง	ละ-ออง		นาข้าทูลละอองบาทพอภาณุม
ไพรี	ไพ-รี		ะไทยเป็นไพรี¦พลางเข้าใ
บรรลัย	บัน-ลัย		เรฆ่าให้บรรลัยลาญ¦แล้วเร
ต้นหน	ต้น-หน		ามเรื่องต้นหนหลังอย่างท
สัญญา	สัน-ยา		ามกันดังสัญญาอย่าให้ช้า
อุรา	อุ-รา		ารพัดอัดอุราพระอนุชาแน
ปัญญา	ปัน-ยา		้ใช่ฝนจนปัญญาไยจึงมาตกพ
ประทับ	ประ-ทับ		ชิญเสด็จประทับด่านชานนคร
