id        	 kind    	 rule    	 story             	 chapter              	 row	 orig_w1                              	 orig_w2                                 	 orig_w3                                	 orig_w4                               	 orig_prev_w4                          	 new_w1                                	 new_w2                                  	 new_w3                                 	 new_w4                                	 op            	 candidate  	 broken_rules                       	 tag                       	 both_normalize
neg_000000	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   0	 อันเป็นมิ่งโมลีสี่ทวีป                       	 ดังประทีปส่องทั่วทุกทิศา                       	 ก็ล่วงลับดับไกลนัยนา                        	 สู่มหาห้องนิพพานสำราญรมย์                  	                                       	 อันเป็นมิ่งโมลีสี่เทบ                        	 ดังประทีปส่องทั่วทุกทิศา                       	 ก็ล่วงลับดับไกลนัยนา                        	 สู่มหาห้องนิพพานสำราญรมย์                  	 C0_same_mattra	 เทบ        	 r1_w1_w2                           	 -                         	 N
neg_000001	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   1	 ฉันชื่อภู่ผู้ประดิษฐ์คิดสนอง                   	 ขอประคองคุณใส่ไว้เหนือผม                    	 ให้ประเสริฐเลิศล้ำด้วยคำคม                  	 โดยอารมณ์ดำริรักชักภิปราย                  	 สู่มหาห้องนิพพานสำราญรมย์                  	 ฉันชื่อภู่ผู้ประดิษฐ์คิดแนง                     	 ขอประคองคุณใส่ไว้เหนือผม                    	 ให้ประเสริฐเลิศล้ำด้วยคำคม                  	 โดยอารมณ์ดำริรักชักภิปราย                  	 C0_same_mattra	 แนง        	 r1_w1_w2                           	 -                         	 N
neg_000002	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   2	 ขอเจริญเรื่องตำรับฉบับสอน                 	 ชาวประชาราษฎรสิ้นทั้งหลาย                   	 อันความชั่วอย่าให้มัวมีระคาย                  	 จะสืบสายสุริย์วงศ์เป็นมงคล                  	 โดยอารมณ์ดำริรักชักภิปราย                  	 ขอเจริญเรื่องตำรับฉบับหัตถ์น                 	 ชาวประชาราษฎรสิ้นทั้งหลาย                   	 อันความชั่วอย่าให้มัวมีระคาย                  	 จะสืบสายสุริย์วงศ์เป็นมงคล                  	 C0_same_mattra	 หัตถ์น       	 r1_w1_w2                           	 -                         	 N
neg_000003	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   3	 ผู้ใดเกิดเป็นสตรีอันมีศักดิ์                   	 บำรุงรักกายไว้ให้เป็นผล                      	 สงวนงามตามระบอบให้ชอบกล                 	 จึงจะพ้นภัยพาลการนินทา                    	 จะสืบสายสุริย์วงศ์เป็นมงคล                  	 ผู้ใดเกิดเป็นสตรีอันมีทุกข                    	 บำรุงรักกายไว้ให้เป็นผล                      	 สงวนงามตามระบอบให้ชอบกล                 	 จึงจะพ้นภัยพาลการนินทา                    	 C0_same_mattra	 ทุกข        	 r1_w1_w2                           	 -                         	 N
neg_000004	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   4	 เป็นสาวแซ่แร่รวยสวยสะอาด                	 ก็หมายมาดเหมือนมณีอันมีค่า                    	 แม้นแตกร้าวรานร่อยถอยราคา                 	 จะพลอยพาหอมหายจากกายนาง               	 จึงจะพ้นภัยพาลการนินทา                    	 เป็นสาวแซ่แร่รวยสวยสะเวท                 	 ก็หมายมาดเหมือนมณีอันมีค่า                    	 แม้นแตกร้าวรานร่อยถอยราคา                 	 จะพลอยพาหอมหายจากกายนาง               	 C0_same_mattra	 เวท        	 r1_w1_w2                           	 -                         	 N
neg_000005	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   5	 อันตัวต่ำแล้วอย่าทำให้กายสูง                	 ดูเยี่ยงยูงแววยังมีที่วงหาง                     	 ค่อยเสงี่ยมเจียมใจจะไว้วาง                  	 ให้ต้องอย่างกิริยาเป็นนารี                   	 จะพลอยพาหอมหายจากกายนาง               	 อันตัวต่ำแล้วอย่าทำให้กายช้าง                	 ดูเยี่ยงยูงแววยังมีที่วงหาง                     	 ค่อยเสงี่ยมเจียมใจจะไว้วาง                  	 ให้ต้องอย่างกิริยาเป็นนารี                   	 C0_same_mattra	 ช้าง        	 r1_w1_w2                           	 -                         	 N
neg_000006	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   6	 จะนุ่งห่มดูพอสมศักดิ์สงวน                   	 ให้สมควรรับพักตร์ตามศักดิ์ศรี                   	 จะผัดหน้าทาแป้งแต่งอินทรีย์                   	 ดูฉวีผิวเนื้ออย่าเหลือเกิน                    	 ให้ต้องอย่างกิริยาเป็นนารี                   	 จะนุ่งห่มดูพอสมศักดิ์คาร                     	 ให้สมควรรับพักตร์ตามศักดิ์ศรี                   	 จะผัดหน้าทาแป้งแต่งอินทรีย์                   	 ดูฉวีผิวเนื้ออย่าเหลือเกิน                    	 C0_same_mattra	 คาร        	 r1_w1_w2                           	 -                         	 N
neg_000007	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   7	 จะเก็บไรไว้ผมให้สมพักตร์                  	 บำรุงศักดิ์ตามศรีมิให้เขิน                      	 เป็นสุภาพราบเรียบแลเจริญ                   	 คงมีผู้สรรเสริญอนงค์ทรง                    	 ดูฉวีผิวเนื้ออย่าเหลือเกิน                    	 จะเก็บไรไว้ผมให้สมเสวก                   	 บำรุงศักดิ์ตามศรีมิให้เขิน                      	 เป็นสุภาพราบเรียบแลเจริญ                   	 คงมีผู้สรรเสริญอนงค์ทรง                    	 C0_same_mattra	 เสวก       	 r1_w1_w2                           	 -                         	 N
neg_000008	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   8	 ใครเห็นน้องต้องนิยมชมไม่ขาด               	 ว่าฉลาดแต่งร่างเหมือนอย่างหงส์                	 ถึงรูปงามทรามสงวนนวลอนงค์                 	 ไม่รู้จักแต่งทรงก็เสียงาม                    	 คงมีผู้สรรเสริญอนงค์ทรง                    	 ใครเห็นน้องต้องนิยมชมไม่ปรอด               	 ว่าฉลาดแต่งร่างเหมือนอย่างหงส์                	 ถึงรูปงามทรามสงวนนวลอนงค์                 	 ไม่รู้จักแต่งทรงก็เสียงาม                    	 C0_same_mattra	 ปรอด       	 r1_w1_w2                           	 -                         	 N
neg_000009	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	   9	 ประการหนึ่งซึ่งจะเดินดำเนินนาด             	 ค่อยเยื้องยาตรยกย่างไปกลางสนาม              	 อย่าไกวแขนสุดแขนเขาห้ามปราม               	 เสงี่ยมงามสงวนไว้แต่ในที                   	 ไม่รู้จักแต่งทรงก็เสียงาม                    	 ประการหนึ่งซึ่งจะเดินดำเนินบูด               	 ค่อยเยื้องยาตรยกย่างไปกลางสนาม              	 อย่าไกวแขนสุดแขนเขาห้ามปราม               	 เสงี่ยมงามสงวนไว้แต่ในที                   	 C0_same_mattra	 บูด         	 r1_w1_w2                           	 -                         	 N
